EndNode1,EndNode2,TurnID,DualNode,Weight
160,163,100349,80,1.0
161,390,155711,192,1.0
162,641,115503,339,1.0
162,642,115504,339,1.0
163,679,164526,370,1.0
163,680,164527,370,1.0
164,717,197716,398,1.0
164,719,197714,398,1.0
164,720,197715,398,1.66666666666667
165,167,177592,83,1.0
165,168,177593,83,0.0
166,432,137833,217,1.0
166,434,137832,217,1.0
167,214,197800,105,1.0
167,215,197802,105,1.0
167,216,197801,105,1.0
169,40,158834,19,1.0
169,41,158835,19,1.0
170,171,106712,85,1.0
171,678,164522,370,1.0
171,679,164521,370,1.0
171,680,164523,370,1.0
172,177,120271,87,1.0
173,285,187754,136,1.0
173,287,187753,136,1.0
174,347,116515,167,1.0
174,348,116516,167,1.0
175,689,195794,376,1.0
176,173,116502,86,1.0
176,174,116501,86,1.0
176,175,116503,86,1.0
177,362,120274,177,1.0
178,179,115206,89,1.0
178,180,115205,89,1.0
179,89,184431,44,1.0
180,239,151903,116,1.0
180,240,151904,116,3.0
181,404,194108,200,1.0
182,84,105720,41,1.0
183,742,197852,405,1.0
183,743,197855,405,1.0
184,154,131820,76,1.0
185,187,189062,93,1.0
185,188,189063,93,1.0
186,184,143528,92,1.0
187,565,132020,289,1.0
188,602,183752,312,1.0
188,603,183751,312,0.0
189,52,156728,24,1.0
190,275,108179,131,1.0
190,276,108178,131,1.0
191,293,158282,139,1.0
191,294,158283,139,0.0
192,391,196101,193,1.0
192,392,196102,193,1.0
193,416,103862,208,1.0
194,195,165024,97,1.0
194,196,197941,97,1.0
195,458,141432,231,1.0
196,751,197943,408,1.0
197,102,115037,51,1.0
197,103,115038,51,1.0
198,357,135503,173,1.0
199,203,144174,100,1.0
199,204,144175,100,1.0
200,235,159770,114,1.0
200,236,159769,114,1.0
201,547,124447,278,1.0
202,645,161175,341,1.0
203,169,158837,84,1.0
203,170,158836,84,1.0
204,503,184862,252,1.0
205,397,137188,195,1.0
206,490,162814,246,1.0
207,15,123218,8,1.0
207,17,123219,8,1.0
208,70,138820,33,1.0
208,72,138821,33,1.0
210,194,184131,96,1.0
211,214,123807,105,1.0
211,216,123805,105,1.0
211,217,197804,105,2.0
212,389,195685,191,1.0
213,480,197864,241,1.0
213,482,104140,241,1.0
214,33,160371,15,1.0
215,212,104143,104,1.0
215,213,104144,104,1.0
216,219,124240,106,1.0
216,220,124241,106,1.0
217,676,175577,368,1.0
218,214,123810,105,1.0
218,215,123808,105,1.0
218,217,197803,105,2.0
219,439,112258,221,1.0
219,441,112259,221,1.0
220,765,198527,415,1.0
220,766,198529,415,1.0
220,767,198528,415,0.3
221,223,179781,108,1.0
222,323,179623,155,1.0
222,324,179624,155,1.0
223,43,152186,21,1.0
223,45,152188,21,1.0
223,46,152187,21,1.0
224,222,179619,107,1.0
225,267,116692,128,1.0
225,268,116691,128,1.0
226,721,197727,399,1.0
226,722,197726,399,2.0
227,247,195780,119,1.0
228,429,151442,214,1.0
229,231,120943,112,1.0
229,232,120944,112,1.0
230,336,103314,163,1.0
231,342,118332,166,1.0
231,344,118334,166,1.0
231,345,118333,166,1.0
232,527,127618,266,1.0
233,94,118945,47,1.0
233,95,118947,47,1.0
233,96,118946,47,1.0
234,199,165249,99,1.0
234,201,165250,99,1.0
234,202,165251,99,1.0
237,239,151901,116,1.0
237,240,151902,116,3.0
238,386,183742,189,1.0
239,20,116527,10,1.0
239,22,116528,10,1.0
240,87,186541,43,1.0
240,88,186540,43,1.0
241,245,183432,118,1.0
241,246,183433,118,1.0
244,242,158721,117,1.0
244,243,158720,117,0.0
245,541,105922,275,1.0
246,696,194202,381,1.0
247,652,195781,347,1.0
248,252,151312,121,1.0
248,253,151314,121,1.0
248,254,151313,121,1.0
249,418,160910,209,1.0
249,419,160911,209,1.0
250,559,193771,284,1.0
251,249,117656,120,1.0
251,250,117657,120,1.0
252,420,138420,210,1.0
252,421,138419,210,0.0
253,473,105727,238,1.0
253,475,105726,238,1.0
254,576,184096,298,1.0
255,108,154035,54,1.0
255,109,154034,54,1.0
256,257,175241,123,1.0
256,258,175242,123,0.3
257,300,174862,142,1.0
258,414,159267,207,1.0
259,260,176037,125,1.0
261,120,163282,61,1.0
261,122,163283,61,1.0
262,265,127967,127,1.0
263,371,168846,181,1.0
263,372,168847,181,1.0
264,261,115687,126,1.0
264,263,115686,126,1.0
265,439,112256,221,1.0
265,440,112257,221,1.0
266,226,185447,109,1.0
267,522,146235,262,1.0
268,746,197867,406,1.0
268,747,197866,406,1.0
269,272,178549,130,1.0
269,274,178548,130,1.0
270,446,149139,225,1.0
271,450,138626,227,1.0
271,451,138627,227,1.0
272,117,119179,60,1.0
272,119,119180,60,1.0
273,270,129655,129,1.0
273,271,129654,129,1.0
274,524,178547,263,1.0
275,50,125831,23,1.0
275,51,125832,23,1.0
276,197,127620,98,1.0
276,198,127621,98,1.0
277,278,150687,133,1.0
278,4,150685,3,1.0
278,5,150686,3,1.0
279,81,144848,39,1.0
280,505,153486,253,1.0
281,749,197915,407,1.0
281,750,197914,407,1.0
282,142,139400,71,1.0
282,143,139401,71,1.0
282,145,139402,71,2.0
283,229,103310,111,1.0
283,230,103311,111,1.0
284,342,118335,166,1.0
284,343,118337,166,1.0
284,345,118336,166,1.0
285,135,190849,67,1.0
286,172,116507,86,1.0
286,174,116508,86,1.0
286,175,116509,86,1.0
287,289,187755,137,1.0
288,285,187749,136,1.0
288,286,187750,136,1.0
289,393,153194,194,1.0
289,395,153195,194,1.0
289,396,153196,194,1.0
290,104,112188,52,1.0
290,105,112187,52,0.3
291,437,102250,219,1.0
